,highSES,lowSES
bartender,0.42365967365967366,0.38082750582750585
cashier,0.34527972027972026,0.3307109557109557
chemical engineer,0.39714452214452217,0.2872960372960373
chemist,0.3755827505827506,0.30011655011655014
construction worker,0.40034965034965037,0.395979020979021
dentist,0.3525641025641026,0.2916666666666667
farm worker,0.358974358974359,0.36975524475524474
janitor,0.32546620046620045,0.3347902097902098
judge,0.3572261072261072,0.28059440559440557
lawyer,0.3120629370629371,0.25874125874125875
line cook,0.38257575757575757,0.3709207459207459
optometrist,0.3548951048951049,0.2937062937062937
parking attendant,0.3321678321678322,0.32954545454545453
pharmacist,0.3726689976689977,0.2881701631701632
physician,0.36625874125874125,0.27942890442890445
physics teacher,0.38053613053613056,0.3173076923076923
professor,0.40967365967365965,0.30332167832167833
psychologist,0.3312937062937063,0.2733100233100233
receptionist,0.3974358974358974,0.3374125874125874
sales clerk,0.3779137529137529,0.35664335664335667
scientist,0.3560606060606061,0.26544289044289043
server,0.3747086247086247,0.34440559440559443
taxi driver,0.3677156177156177,0.3685897435897436
truck driver,0.3918997668997669,0.38694638694638694
