,highSES,lowSES
bartender,0.037296037296037296,-0.037296037296037296
cashier,0.04487179487179487,-0.04487179487179487
chemical engineer,0.10431235431235432,-0.10431235431235432
chemist,0.11625874125874126,-0.11625874125874126
construction worker,0.024184149184149184,-0.024184149184149184
dentist,0.09527972027972027,-0.09527972027972027
farm worker,0.009324009324009324,-0.009324009324009324
janitor,0.001456876456876457,-0.001456876456876457
judge,0.07080419580419581,-0.07080419580419581
lawyer,0.08304195804195805,-0.08304195804195805
line cook,-0.0034965034965034965,0.0034965034965034965
optometrist,0.09935897435897435,-0.09935897435897435
parking attendant,0.03671328671328671,-0.03671328671328671
pharmacist,0.10926573426573427,-0.10926573426573427
physician,0.11713286713286714,-0.11713286713286714
physics teacher,0.11713286713286714,-0.11713286713286714
professor,0.1046037296037296,-0.1046037296037296
psychologist,0.05710955710955711,-0.05710955710955711
receptionist,0.05128205128205128,-0.05128205128205128
sales clerk,0.04020979020979021,-0.04020979020979021
scientist,0.09644522144522144,-0.09644522144522144
server,0.013986013986013986,-0.013986013986013986
taxi driver,0.07226107226107226,-0.07226107226107226
truck driver,0.031177156177156176,-0.031177156177156176
