,highSES,lowSES
bartender,0.03059440559440557,0.0166083916083916
cashier,0.047397047397047365,0.002525252525252501
chemical engineer,0.15782828282828282,-0.11752136752136748
chemist,0.18638306138306135,-0.13937451437451434
construction worker,0.008838383838383868,0.015248640248640232
dentist,0.15365190365190362,-0.1053807303807303
farm worker,0.0033993783993784,0.02962315462315457
janitor,0.023504273504273466,0.013888888888888834
judge,0.11149961149961148,-0.05225330225330221
lawyer,0.110042735042735,-0.06419968919968913
line cook,0.0206876456876457,0.014860139860139834
optometrist,0.14966977466977463,-0.10353535353535348
parking attendant,0.06351981351981346,-0.018356643356643335
pharmacist,0.1372377622377622,-0.08391608391608386
physician,0.16520979020979018,-0.10897435897435893
physics teacher,0.17297979797979798,-0.1236402486402486
professor,0.18395493395493392,-0.12781662781662775
psychologist,0.10285547785547781,-0.050116550116550064
receptionist,0.07041569541569537,-0.034479409479409404
sales clerk,0.0789627039627039,-0.03554778554778554
scientist,0.13111888111888106,-0.0792540792540792
server,0.06080031080031073,-0.0129176379176379
taxi driver,0.06351981351981349,-0.025641025641025633
truck driver,0.027777777777777766,-0.0007770007770007999
