,highSES,lowSES
bartender,0.032342657342657344,0.034382284382284384
cashier,0.037296037296037296,0.03205128205128205
chemical engineer,0.04428904428904429,0.04108391608391608
chemist,0.047494172494172496,0.04224941724941725
construction worker,0.030011655011655012,0.034382284382284384
dentist,0.039335664335664336,0.03700466200466201
farm worker,0.02972027972027972,0.032342657342657344
janitor,0.028846153846153848,0.03175990675990676
judge,0.041666666666666664,0.040501165501165504
lawyer,0.050699300699300696,0.050699300699300696
line cook,0.030885780885780884,0.03205128205128205
optometrist,0.04224941724941725,0.037587412587412584
parking attendant,0.030885780885780884,0.030885780885780884
pharmacist,0.04224941724941725,0.037296037296037296
physician,0.050699300699300696,0.04691142191142191
physics teacher,0.045745920745920744,0.044580419580419584
professor,0.04691142191142191,0.03700466200466201
psychologist,0.07313519813519813,0.0673076923076923
receptionist,0.035547785547785545,0.029428904428904428
sales clerk,0.033216783216783216,0.030303030303030304
scientist,0.06060606060606061,0.045454545454545456
server,0.031177156177156176,0.02768065268065268
taxi driver,0.033216783216783216,0.03496503496503497
truck driver,0.030885780885780884,0.03350815850815851
