,highSES,lowSES
bartender,-0.02564102564102564,0.02564102564102564
cashier,-0.002913752913752914,0.002913752913752914
chemical engineer,0.11043123543123542,-0.11043123543123542
chemist,0.11596736596736597,-0.11596736596736597
construction worker,-0.009032634032634032,0.009032634032634032
dentist,0.08828671328671328,-0.08828671328671328
farm worker,-0.029428904428904428,0.029428904428904428
janitor,0.0020396270396270395,-0.0020396270396270395
judge,0.05448717948717949,-0.05448717948717949
lawyer,0.05652680652680653,-0.05652680652680653
line cook,-0.013403263403263404,0.013403263403263404
optometrist,0.06847319347319347,-0.06847319347319347
parking attendant,0.008741258741258742,-0.008741258741258742
pharmacist,0.06264568764568765,-0.06264568764568765
physician,0.08595571095571096,-0.08595571095571096
physics teacher,0.09731934731934731,-0.09731934731934731
professor,0.11917249417249418,-0.11917249417249418
psychologist,0.06293706293706294,-0.06293706293706294
receptionist,0.03263403263403263,-0.03263403263403263
sales clerk,0.018065268065268064,-0.018065268065268064
scientist,0.06468531468531469,-0.06468531468531469
server,0.017482517482517484,-0.017482517482517484
taxi driver,-0.026806526806526808,0.026806526806526808
truck driver,-0.008741258741258742,0.008741258741258742
