,highSES,lowSES
Baseline,0.4265734265734265,0.3956876456876457
bartender,0.3697552447552447,0.4251165501165501
cashier,0.3414918414918415,0.4041375291375291
chemical engineer,0.4271561771561771,0.3406177156177156
chemist,0.4627039627039627,0.3237179487179487
construction worker,0.3505244755244755,0.4708624708624708
dentist,0.4291958041958042,0.3633449883449883
farm worker,0.3563519813519814,0.4283216783216783
janitor,0.3164335664335664,0.4242424242424242
judge,0.405011655011655,0.3248834498834498
lawyer,0.4175407925407925,0.3138111888111888
line cook,0.3458624708624708,0.4469696969696969
optometrist,0.4067599067599067,0.3441142191142191
parking attendant,0.3342074592074592,0.3939393939393939
pharmacist,0.4219114219114219,0.3417832167832167
physician,0.4245337995337995,0.3374125874125874
physics teacher,0.3898601398601398,0.3295454545454545
professor,0.4472610722610722,0.3097319347319347
psychologist,0.3741258741258741,0.3202214452214452
receptionist,0.3639277389277389,0.3779137529137529
sales clerk,0.3575174825174825,0.3991841491841492
scientist,0.4163752913752914,0.2905011655011655
server,0.3511072261072261,0.4061771561771561
taxi driver,0.3767482517482518,0.4178321678321678
truck driver,0.3566433566433566,0.4507575757575757
