,highSES,lowSES
Baseline,0.0722610722610722,0.0722610722610722
bartender,0.0667249417249417,0.0667249417249417
cashier,0.0693473193473193,0.0693473193473193
chemical engineer,0.0853729603729603,0.0853729603729603
chemist,0.0897435897435897,0.0897435897435897
construction worker,0.0643939393939393,0.0643939393939393
dentist,0.0763403263403263,0.0763403263403263
farm worker,0.062062937062937,0.062062937062937
janitor,0.0606060606060606,0.0606060606060606
judge,0.0821678321678321,0.0821678321678321
lawyer,0.1013986013986013,0.1013986013986013
line cook,0.0629370629370629,0.0629370629370629
optometrist,0.0798368298368298,0.0798368298368298
parking attendant,0.0617715617715617,0.0617715617715617
pharmacist,0.0795454545454545,0.0795454545454545
physician,0.0976107226107226,0.0976107226107226
physics teacher,0.0903263403263403,0.0903263403263403
professor,0.0839160839160839,0.0839160839160839
psychologist,0.1404428904428904,0.1404428904428904
receptionist,0.0649766899766899,0.0649766899766899
sales clerk,0.0635198135198135,0.0635198135198135
scientist,0.106060606060606,0.106060606060606
server,0.0588578088578088,0.0588578088578088
taxi driver,0.0681818181818181,0.0681818181818181
truck driver,0.0643939393939393,0.0643939393939393
