,highSES,lowSES
bartender,0.07663170163170163,-0.035256410256410256
cashier,0.09353146853146853,-0.04108391608391608
chemical engineer,0.1756993006993007,-0.13723776223776224
chemist,0.19405594405594406,-0.1547202797202797
construction worker,0.052738927738927736,-0.019813519813519812
dentist,0.16375291375291376,-0.12208624708624709
farm worker,0.029137529137529136,0.0011655011655011655
janitor,0.019813519813519812,0.015442890442890442
judge,0.13024475524475523,-0.08216783216783216
lawyer,0.14743589743589744,-0.10168997668997669
line cook,0.0168997668997669,0.027389277389277388
optometrist,0.17132867132867133,-0.12674825174825174
parking attendant,0.07459207459207459,-0.035547785547785545
pharmacist,0.18706293706293706,-0.14073426573426573
physician,0.20134032634032634,-0.15005827505827507
physics teacher,0.1960955710955711,-0.1553030303030303
professor,0.18036130536130537,-0.13344988344988346
psychologist,0.11567599067599067,-0.055652680652680656
receptionist,0.09178321678321678,-0.062062937062937064
sales clerk,0.08041958041958042,-0.04020979020979021
scientist,0.16987179487179488,-0.11946386946386946
server,0.04516317016317016,0.003205128205128205
taxi driver,0.1284965034965035,-0.08828671328671328
truck driver,0.0641025641025641,-0.029428904428904428
